"filename", "language", "SQL", "Java Properties", "HTML", "Java", "JavaScript", "CSS", "comment", "blank", "total"
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\settings.css", "CSS", 0, 0, 0, 0, 0, 231, 41, 53, 325
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\settingsItems.css", "CSS", 0, 0, 0, 0, 0, 87, 6, 22, 115
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\settingsLessons.css", "CSS", 0, 0, 0, 0, 0, 149, 10, 46, 205
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\settingsLoans.css", "CSS", 0, 0, 0, 0, 0, 72, 12, 23, 107
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\signup.css", "CSS", 0, 0, 0, 0, 0, 38, 0, 7, 45
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\subsCards.css", "CSS", 0, 0, 0, 0, 0, 195, 14, 28, 237
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\user.css", "CSS", 0, 0, 0, 0, 0, 159, 25, 35, 219
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\userBookings.css", "CSS", 0, 0, 0, 0, 0, 31, 6, 10, 47
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\userItems.css", "CSS", 0, 0, 0, 0, 0, 46, 4, 21, 71
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\addCourse.js", "JavaScript", 0, 0, 0, 0, 116, 0, 18, 35, 169
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\arties.js", "JavaScript", 0, 0, 0, 0, 228, 0, 92, 30, 350
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\bookLesson.js", "JavaScript", 0, 0, 0, 0, 180, 0, 19, 84, 283
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\calendar.js", "JavaScript", 0, 0, 0, 0, 348, 0, 118, 118, 584
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\calendarExtra.js", "JavaScript", 0, 0, 0, 0, 43, 0, 14, 21, 78
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\chat.js", "JavaScript", 0, 0, 0, 0, 269, 0, 13, 78, 360
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\chats.js", "JavaScript", 0, 0, 0, 0, 163, 0, 5, 39, 207
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\courses.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 7, 23
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\coursesStaff.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 5, 17
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\index.js", "JavaScript", 0, 0, 0, 0, 58, 0, 12, 39, 109
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\loanItem.js", "JavaScript", 0, 0, 0, 0, 98, 0, 23, 59, 180
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\main.js", "JavaScript", 0, 0, 0, 0, 37, 0, 3, 11, 51
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\modalAddItem.js", "JavaScript", 0, 0, 0, 0, 40, 0, 3, 22, 65
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\modifyCourse.js", "JavaScript", 0, 0, 0, 0, 115, 0, 9, 28, 152
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\settings.js", "JavaScript", 0, 0, 0, 0, 308, 0, 22, 74, 404
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\settingsItems.js", "JavaScript", 0, 0, 0, 0, 213, 0, 18, 103, 334
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\settingsLessons.js", "JavaScript", 0, 0, 0, 0, 445, 0, 32, 186, 663
